source_id,series_id,row_id,pixel_x,pixel_y,time_ps,normalized_signal,extraction_uncertainty,source_locator,series_mapping_status
ding_2022_fig1d_digitized,red_trace,red_trace:584,584,322.0,851.211073,0.70857143,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,red_trace,red_trace:585,585,322.0,855.363322,0.70857143,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,red_trace,red_trace:586,586,322.0,859.515571,0.70857143,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,red_trace,red_trace:587,587,322.0,863.66782,0.70857143,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,red_trace,red_trace:588,588,322.0,867.820069,0.70857143,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,red_trace,red_trace:589,589,322.0,871.972318,0.70857143,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,red_trace,red_trace:590,590,322.0,876.124567,0.70857143,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,red_trace,red_trace:591,591,322.0,880.276817,0.70857143,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,red_trace,red_trace:592,592,322.0,884.429066,0.70857143,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,red_trace,red_trace:593,593,322.0,888.581315,0.70857143,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,red_trace,red_trace:594,594,322.0,892.733564,0.70857143,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,red_trace,red_trace:595,595,322.0,896.885813,0.70857143,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,red_trace,red_trace:596,596,322.0,901.038062,0.70857143,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,red_trace,red_trace:597,597,322.0,905.190311,0.70857143,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,green_trace,green_trace:391,391,291.5,49.82699,0.88285714,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,green_trace,green_trace:392,392,296.0,53.979239,0.85714286,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,green_trace,green_trace:393,393,295.5,58.131488,0.86,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,green_trace,green_trace:394,394,297.5,62.283737,0.84857143,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,green_trace,green_trace:395,395,300.0,66.435986,0.83428571,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,green_trace,green_trace:396,396,301.5,70.588235,0.82571429,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,green_trace,green_trace:397,397,304.0,74.740484,0.81142857,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,green_trace,green_trace:398,398,305.0,78.892734,0.80571429,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,green_trace,green_trace:399,399,307.0,83.044983,0.79428571,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,green_trace,green_trace:400,400,309.0,87.197232,0.78285714,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,green_trace,green_trace:401,401,312.0,91.349481,0.76571429,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,green_trace,green_trace:402,402,315.5,95.50173,0.74571429,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,green_trace,green_trace:403,403,318.0,99.653979,0.73142857,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,green_trace,green_trace:404,404,320.5,103.806228,0.71714286,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,green_trace,green_trace:405,405,320.0,107.958478,0.72,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,green_trace,green_trace:406,406,322.0,112.110727,0.70857143,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,green_trace,green_trace:407,407,323.5,116.262976,0.7,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,green_trace,green_trace:408,408,326.5,120.415225,0.68285714,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,green_trace,green_trace:409,409,330.0,124.567474,0.66285714,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,green_trace,green_trace:410,410,330.0,128.719723,0.66285714,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
