time_normalized,thermal_force_normalized,fourier_response_normalized,cattaneo_reference_normalized,cattaneo_numeric_normalized,linear_phi_response_normalized,nonlinear_C,nonlinear_Phi,nonlinear_Pi,trace_source_nonnegative,trace_observable_normalized,extended_energy_normalized,actual_delta_normalized,predicted_delta_normalized,ledger_closure_relative
12.64,-0.05519397715107451,-0.05519397715107451,0.09249620581155714,0.09249617937090591,0.33289518654009775,0.13792649560400463,0.35971980664549735,-0.10163672502366913,0.5451885170671859,0.5709462696327267,0.06197642738419245,-7.973804997743472e-07,-7.973804947416342e-07,5.440447170371501e-09
12.65,-0.06268092200229182,-0.06268092200229182,0.08510916444940969,0.08510913902567405,0.33168411697338085,0.13765269532296384,0.358693467192524,-0.10362999088191596,0.5460477413350351,0.5728979772851757,0.06181559685095704,-8.108250297567121e-07,-8.108250247016754e-07,5.2713353039471635e-09
12.66,-0.07016434106817365,-0.07016434106817365,0.0777173357192028,0.07771731131381283,0.33045439026253987,0.13737323278555574,0.3576472304699836,-0.10561616227648345,0.5466022485354706,0.5745490145443641,0.06165209716859483,-8.240724302041591e-07,-8.240724250757269e-07,5.162440078153663e-09
12.67,-0.07764381340837072,-0.07764381340836896,0.07032113540935529,0.07032111202368209,0.32920607557937825,0.137088118313821,0.3565811679205585,-0.10759513977379921,0.547156755735906,0.5762000518035527,0.06148596809039233,-8.371194543527194e-07,-8.371194491722023e-07,5.0375392245816486e-09
12.680000000000001,-0.08511891830453426,-0.08511891830453604,0.06292097955417918,0.06292095718954036,0.3279392431412669,0.13679736258584943,0.35549535197599996,-0.10956682499356642,0.5477112629363418,0.5778510890627415,0.06131725001244697,-8.49962920657088e-07,-8.499629154155102e-07,4.926905050830057e-09
12.690000000000001,-0.09258923528398837,-0.09258923528399013,0.05551728441049539,0.055517263068148484,0.3266539642071974,0.13650097663555558,0.3543898560466053,-0.11153112060662407,0.5482657701367772,0.5795021263219301,0.0611459839605461,-8.625997136163521e-07,-8.625997083114987e-07,4.823204709621437e-09
12.700000000000001,-0.10005434414337087,-0.10005434414337087,0.04811046643420354,0.04811044611534735,0.3253503110737708,0.1361989718524321,0.35326475451071615,-0.11348793033242645,0.5488202773372127,0.5811531635811186,0.06097221157685597,-8.750267847315585e-07,-8.75026779376794e-07,4.7122457900712726e-09
12.71,-0.10751382497227678,-0.10751382497227678,0.04070094225685838,0.040700922962637574,0.3240283570711316,0.13589135998127633,0.35212012270425097,-0.1154371589361464,0.5490669498290374,0.5824942477149684,0.060795975106430464,-8.872411534285862e-07,-8.872411480316676e-07,4.599661613894225e-09
12.72,-0.11496725817687631,-0.11496725817687631,0.03328912866224296,0.03328911039374281,0.3226881765588441,0.13557815312189278,0.3509560369102587,-0.11737871222541033,0.549313622320862,0.5838353318488182,0.060617317383542244,-8.992399078977531e-07,-8.992399024562497e-07,4.494185712970264e-09
12.73,-0.12241422450351698,-0.12241422450351522,0.02587544256291938,0.02587542532116581,0.32132984492170913,0.1352593637287703,0.3497725743485161,-0.11931249704666874,0.5495602948126868,0.585176415982668,0.06043628181784901,-9.110202059126049e-07,-9.110202004096908e-07,4.406860422347498e-09
12.74,-0.1298543050623047,-0.1298543050623047,0.018460300976772558,0.018460284762737093,0.3199534385655225,0.13493500461073482,0.34856981316515784,-0.12123842128120939,0.5498069673045114,0.5865175001165178,0.06025291238039808,-9.225792755376827e-07,-9.225792700121406e-07,4.293004143186011e-09
12.75,-0.13728708135067327,-0.13728708135067327,0.011044121003563202,0.011044105818157922,0.31855903491277915,0.13460508893057646,0.3473478324223484,-0.12315639384082025,0.550053639796336,0.5878585842503676,0.06006725358947844,-9.339144160652735e-07,-9.339144104893239e-07,4.205269123269381e-09
12.76,-0.14471213527691454,-0.14471213527691454,0.0036273198014594404,0.0036273056455384737,0.3171467123983168,0.13426963020465266,0.34610671208800325,-0.12506632466310624,0.5499910906970674,0.5888821751960245,0.05987935049632884,-9.450229985219494e-07,-9.450229928795171e-07,4.132968671249369e-09
12.770000000000001,-0.15212904918370293,-0.15212904918370293,-0.0037896854364267234,-0.003789698562068446,0.3157165504649046,0.13392864230246493,0.34484653302555207,-0.1269681247064691,0.5499285415977989,0.5899057661416816,0.05968924867070635,-9.55902466369396e-07,-9.55902460702804e-07,4.033337720681832e-09
12.780000000000001,-0.15953740587158682,-0.15953740587158682,-0.011206477505506348,-0.011206489600129177,0.31426862955877416,0.13358213944621197,0.3435673769837586,-0.12886170594475563,0.5498659924985303,0.5909293570873384,0.059496994186326306,-9.66550336316263e-07,-9.665503305925618e-07,3.960833950944329e-09
12.790000000000001,-0.1669367886224559,-0.1669367886224559,-0.018622639213181115,-0.018622650276104723,0.31280303112509467,0.1332301362103181,0.34226932658659487,-0.13074698136158075,0.5498034433992618,0.5919529480329953,0.059302633606179586,-9.769641986512312e-07,-9.769641928889776e-07,3.878676055852426e-09
12.8,-0.17432678122297965,-0.1743267812229814,-0.026037753402310383,-0.026037763432912496,0.3113198376033916,0.1328726475209356,0.34095246532317275,-0.13262386494433342,0.5497408942999932,0.5929765389786521,0.059106213967734564,-9.871417179993514e-07,-9.871417121946574e-07,3.802427006962077e-09
12.81,-0.18170696798802632,-0.18170696798802632,-0.03345140297467443,-0.033451411972392577,0.30981913242290987,0.13250968865542329,0.3396168775377371,-0.13449227167787187,0.5493694752834214,0.5936768817354623,0.05890778276803191,-9.970806337314397e-07,-9.970806278922595e-07,3.7241531011510507e-09
12.82,-0.18907693378403462,-0.18907693378403462,-0.040863170914443074,-0.04086317887876938,0.3083009999979193,0.13214127524179903,0.33826264841972487,-0.13635211753791668,0.5489980562668495,0.5943772244922724,0.05870738794867998,-1.0067787605191891e-06,-1.006778754624196e-06,3.6622806656154826e-09
12.83,-0.19643626405237175,-0.19643626405237175,-0.04827264031162226,-0.0482726472421087,0.3067655257229691,0.13176742325816954,0.3368898639938898,-0.13820331948414563,0.5486266372502777,0.5950775672490826,0.05850507788075774,-1.0162339886751748e-06,-1.0162339827343559e-06,3.596673433157262e-09
12.84,-0.20378454483265052,-0.2037845448326488,-0.05567939438551026,-0.05567940028176877,0.30521279596808265,0.13138814903213275,0.33549861111049845,-0.14004579545300133,0.5482552182337058,0.5957779100058926,0.05830090134963287,-1.0254442846593936e-06,-1.0254442786720553e-06,3.5339781711713375e-09
12.850000000000001,-0.21112136278601462,-0.21112136278601462,-0.06308301650814863,-0.06308302136984535,0.3036428980738981,0.13100346924015782,0.33408897743560095,-0.14187946435021803,0.5478837992171339,0.5964782527627029,0.05809490753970393,-1.0344076913776368e-06,-1.0344076853581846e-06,3.4653479711328723e-09
12.860000000000001,-0.21844630521838868,-0.21844630521838868,-0.07048309022773987,-0.07048309405460175,0.3020559203467592,0.13061340090693918,0.3326610514413749,-0.1437042460430748,0.5472055985360831,0.59685140974892,0.05788714601907181,-1.0431223285770064e-06,-1.0431223225137472e-06,3.4059316971682946e-09
12.870000000000001,-0.2257589601036905,-0.2257589601036905,-0.07787919929208839,-0.07787920208390195,0.30045195205374475,0.13021796140472533,0.3312149223965527,-0.14552006135238163,0.5465273978550322,0.597224566735137,0.05767766672415055,-1.0515863930679603e-06,-1.051586386950889e-06,3.354201477511141e-09
12.88,-0.2330589161070144,-0.2330589161070144,-0.08527092767201301,-0.08527092942861947,0.2988310834176474,0.12981716845262414,0.3297506803569227,-0.14732683204421032,0.5458491971739813,0.5975977237213541,0.05746651994422191,-1.0597981589602345e-06,-1.0597981528266663e-06,3.2843271644015035e-09
12.89,-0.24034576260775825,-0.24034576260775825,-0.09265785958473961,-0.09265786030604015,0.29719340561190105,0.12941104011588314,0.32826841615592334,-0.14912448082137197,0.5451709964929304,0.5979708807075711,0.057253756305944994,-1.0677559780236656e-06,-1.067755971859661e-06,3.224420650258111e-09
12.9,-0.2476190897227277,-0.2476190897227277,-0.10003957951729575,-0.10003957920324982,0.2955390107554504,0.12899959480514475,0.3267682213953166,-0.15091293131465472,0.5444927958118796,0.5983440376937882,0.057039426757824585,-1.0754582797367629e-06,-1.0754582735097244e-06,3.183390692164657e-09
12.91,-0.25487848832919036,-0.25487848832919036,-0.10741567224988169,-0.10741567090050691,0.29386799190756996,0.12858285127567687,0.3252501884359553,-0.15269210807382616,0.5435116265572915,0.5983879108850901,0.05682358255464859,-1.0829035713769142e-06,-1.0829035651211343e-06,3.1265831715244306e-09
12.92,-0.2621235500878886,-0.2621235500878869,-0.11478572287922423,-0.11478572049459827,0.29218044306262964,0.12816082862658004,0.32371441038863735,-0.15446193655841,0.5425304573027033,0.5984317840763921,0.05660627524189918,-1.0900904383187582e-06,-1.0900904320293492e-06,3.0742237515807328e-09
