endpoint,record_date,classification_desc,amount_field,amount_usd,fiscal_year
mts_table_5,2024-09-30,Energy Efficiency and Renewable Energy,current_fytd_net_outly_amt,3703702259.99,2024
mts_table_5,2024-09-30,Energy Employees Occupational Illness Compensation Fund,current_fytd_net_outly_amt,2692762124.3,2024
mts_table_5,2024-09-30,Energy Programs:,,,2024
mts_table_5,2024-09-30,Energy Supply,current_fytd_net_outly_amt,2408399099.0,2024
mts_table_5,2024-09-30,Enforcement,current_fytd_net_outly_amt,6501101166.78,2024
mts_table_5,2024-09-30,Environmental Programs and Management,current_fytd_net_outly_amt,3211107779.16,2024
mts_table_5,2024-09-30,Environmental Protection Agency,current_fytd_net_outly_amt,-681654944.11,2024
mts_table_5,2024-09-30,Environmental Protection Agency:,,,2024
mts_table_5,2024-09-30,Environmental and Other Defense Activities:,,,2024
mts_table_5,2024-09-30,Equal Employment Opportunity Commission,current_fytd_net_outly_amt,463255494.72,2024
mts_table_5,2024-09-30,Exchange Stabilization Fund,current_fytd_net_outly_amt,-1506490849.7,2024
mts_table_5,2024-09-30,Executive Office of the President:,,,2024
